user_id,age,gender,region,plan,device_type,preferred_genre,payment_method,ad_type,auto_renew,discount_used,monthly_charge,months_subscribed,watch_time_per_day,total_watch_hours,binge_score,complaints,support_calls,rating,reviews_written,peak_hours,joined_date,last_active_date,churn
U255576,26,Male,Tier-2,Standard,Mobile,Documentary,Debit Card,Skippable Ads,1,0,399,5,1.3093871934007555,39.28,0.15,0,1,3.9,2,Evening,2022-12-04,2023-05-18,0
U578007,45,Female,Metro,Basic,Smart TV,Documentary,Debit Card,Non-Skippable Ads,1,1,199,6,3.5351400168925218,106.05,0.09,0,0,4.7,0,Morning,2023-05-02,2023-11-24,0
U815460,46,Female,East,Standard,Laptop,Action,Gift Code,Non-Skippable Ads,0,1,399,3,1.039141613555665,31.17,0.07,0,0,4.0,1,Evening,2023-01-28,2023-05-22,1
U718362,65,Female,Tier-2,Premium,Smart TV,Comedy,Wallet,Non-Skippable Ads,1,1,599,11,4.3571142208932185,130.71,0.14,0,0,3.5,1,Evening,2024-10-11,2025-09-08,0
U404462,45,Female,East,Standard,Laptop,Thriller,Wallet,Non-Skippable Ads,0,0,399,3,1.9944207742935147,59.83,0.16,0,0,4.2,0,Afternoon,2024-10-29,2025-02-04,1
U994647,40,Female,East,Standard,Mobile,Romance,Debit Card,Skippable Ads,0,1,399,1,0.8477379845882698,25.43,0.01,0,0,5.0,0,Late Night,2024-11-02,2024-12-06,1
U909006,37,Male,Tier-2,Basic,Tablet,Horror,UPI,Non-Skippable Ads,1,0,199,4,2.160315583184958,64.81,0.1,0,0,3.6,0,Evening,2022-09-13,2023-02-02,0
U760482,62,Female,East,Standard,Smart TV,Romance,Gift Code,Skippable Ads,1,0,399,7,1.619284329244127,48.58,0.04,1,1,2.8,0,Afternoon,2022-09-20,2023-04-29,0
U126069,49,Female,North,Standard,Tablet,Drama,Debit Card,No Ads,1,0,399,8,1.9898953009583258,59.7,0.03,0,0,2.2,0,Late Night,2023-07-22,2024-04-02,1
U623138,66,Male,Metro,Premium,Set-top Box,Documentary,Net Banking,Skippable Ads,1,0,599,12,2.2809058024885003,68.43,0.12,0,0,3.7,0,Evening,2022-09-09,2023-09-08,0
U716210,35,Female,North,Standard,Mobile,Comedy,Debit Card,Non-Skippable Ads,0,1,399,5,1.8218333281688162,54.65,0.13,0,0,1.4,0,Evening,2025-02-15,2025-08-02,1
U208872,32,Male,Tier-3,Standard,Tablet,Documentary,Debit Card,Non-Skippable Ads,1,0,399,8,2.6155654737270058,78.47,0.13,0,0,2.3,2,Evening,2023-07-20,2024-04-10,1
U639812,20,Male,Tier-2,Standard,Mobile,Sci-Fi,Net Banking,Non-Skippable Ads,1,1,399,11,0.2,6.0,0.0,1,0,2.7,1,Afternoon,2023-06-28,2024-06-19,0
U679205,18,Female,South,Basic,Smart TV,Sci-Fi,Debit Card,Skippable Ads,0,1,199,6,1.8865751904137804,56.6,0.03,1,1,3.9,0,Evening,2023-04-24,2023-10-27,1
U164772,44,Male,West,Premium,Smart TV,Thriller,Debit Card,Non-Skippable Ads,1,0,599,10,4.163776643759633,124.91,0.32,0,1,2.8,0,Evening,2024-11-07,2025-10-01,0
U191751,58,Female,West,Premium,Laptop,Action,Gift Code,Non-Skippable Ads,0,0,599,10,1.5926993579802722,47.78,0.17,0,1,3.4,0,Late Night,2024-05-01,2025-03-13,0
U430388,62,Male,North,Basic,Mobile,Horror,Wallet,Skippable Ads,0,1,199,1,0.5998250217155343,17.99,0.02,0,0,4.5,0,Evening,2023-05-07,2023-06-30,1
U247313,36,Female,North,Premium,Mobile,Documentary,Debit Card,No Ads,1,0,599,2,2.1716055745161826,65.15,0.07,0,0,2.1,1,Late Night,2024-08-06,2024-10-23,0
U924690,62,Female,Tier-2,Standard,Mobile,Sci-Fi,Credit Card,No Ads,1,0,399,9,3.3188507799671845,99.57,0.07,0,0,3.4,0,Morning,2025-02-18,2025-12-08,0
U176218,23,Male,Tier-3,Standard,Laptop,Comedy,Debit Card,Non-Skippable Ads,0,0,399,4,2.026985271074442,60.81,0.09,0,0,2.9,1,Late Night,2024-11-16,2025-03-21,0
U267292,34,Female,West,Standard,Mobile,Thriller,Gift Code,Skippable Ads,0,1,399,7,1.7685899558775033,53.06,0.02,0,0,4.5,1,Evening,2023-09-26,2024-05-07,0
U626861,24,Female,Metro,Standard,Smart TV,Comedy,Net Banking,Skippable Ads,1,1,399,1,2.272137574427084,68.16,0.09,0,0,5.0,1,Afternoon,2024-07-02,2024-08-29,0
U816756,42,Female,Tier-2,Standard,Smart TV,Sci-Fi,Wallet,Skippable Ads,1,1,399,6,2.9458324218137446,88.37,0.07,1,0,3.3,2,Evening,2025-02-27,2025-09-17,1
U808662,62,Other,Tier-2,Standard,Mobile,Drama,Gift Code,Non-Skippable Ads,1,0,399,9,3.086832953387236,92.6,0.17,0,0,3.5,1,Late Night,2024-09-13,2025-06-13,0
U145186,65,Female,West,Premium,Mobile,Comedy,Gift Code,Non-Skippable Ads,1,0,599,1,4.393720572071959,131.81,0.15,1,1,3.0,0,Late Night,2024-11-30,2025-01-15,0
U611897,56,Other,Tier-3,Basic,Smart TV,Action,Gift Code,Skippable Ads,1,1,199,9,2.8696474704141184,86.09,0.09,0,0,4.9,1,Afternoon,2022-11-30,2023-09-05,0
U659723,60,Male,Metro,Standard,Smart TV,Comedy,UPI,Skippable Ads,1,0,399,1,0.2,6.0,0.0,0,0,3.6,3,Evening,2025-02-09,2025-03-14,0
U424060,68,Female,West,Premium,Smart TV,Thriller,Net Banking,No Ads,0,0,599,3,4.058932337558816,121.77,0.15,0,0,1.6,1,Evening,2023-09-29,2024-01-01,0
U931460,58,Female,Tier-3,Premium,Smart TV,Action,Wallet,No Ads,0,0,599,7,2.013343751518263,60.4,0.08,0,0,4.1,0,Afternoon,2023-02-05,2023-09-21,0
U565966,38,Female,East,Standard,Smart TV,Comedy,Gift Code,Skippable Ads,1,0,399,3,1.7394165532190446,52.18,0.19,1,0,3.3,0,Late Night,2025-01-02,2025-04-03,1
U194377,24,Male,North,Standard,Mobile,Romance,Debit Card,Skippable Ads,1,0,399,9,0.41432263216423526,12.43,0.01,0,1,5.0,1,Evening,2023-07-30,2024-05-05,1
U349690,28,Male,Tier-2,Standard,Mobile,Thriller,Wallet,Non-Skippable Ads,0,0,399,6,1.5222181043717113,45.67,0.04,0,2,3.0,1,Evening,2024-11-29,2025-06-15,0
U289004,44,Male,South,Basic,Smart TV,Drama,Wallet,Skippable Ads,1,1,199,7,2.8750019413430956,86.25,0.13,0,0,4.3,0,Late Night,2023-04-16,2023-11-19,0
U238563,42,Male,West,Basic,Smart TV,Sci-Fi,Credit Card,No Ads,1,0,199,11,2.9090932436452595,87.27,0.31,1,1,4.2,0,Morning,2023-04-03,2024-03-03,1
U824238,44,Female,West,Premium,Mobile,Documentary,UPI,No Ads,0,0,599,8,2.756773422357241,82.7,0.03,0,1,2.3,0,Evening,2024-08-12,2025-05-04,0
U477816,32,Male,Tier-3,Standard,Laptop,Drama,Debit Card,Non-Skippable Ads,1,0,399,7,4.307652154370311,129.23,0.28,0,0,2.9,1,Evening,2025-04-02,2025-10-29,0
U706791,26,Other,North,Basic,Smart TV,Comedy,Credit Card,Non-Skippable Ads,1,0,199,6,1.8820480310476355,56.46,0.17,0,0,3.5,1,Morning,2024-05-04,2024-11-15,0
U122431,65,Male,South,Standard,Laptop,Sci-Fi,Credit Card,Non-Skippable Ads,0,0,399,4,0.9574717797267114,28.72,0.07,0,0,4.9,0,Afternoon,2024-07-02,2024-11-11,0
U749438,47,Male,West,Premium,Mobile,Thriller,Debit Card,Non-Skippable Ads,0,1,599,1,3.632170314621492,108.97,0.12,0,0,5.0,0,Evening,2023-05-14,2023-06-19,1
U232632,60,Female,East,Premium,Laptop,Sci-Fi,Wallet,No Ads,1,0,599,10,2.385734100225538,71.57,0.27,1,0,3.0,0,Late Night,2024-07-31,2025-06-13,0
U619984,45,Other,South,Standard,Mobile,Action,Wallet,Non-Skippable Ads,1,0,399,6,2.190435473342354,65.71,0.07,0,0,4.1,1,Evening,2024-02-19,2024-08-18,0
U349474,60,Male,Metro,Standard,Tablet,Horror,Debit Card,Non-Skippable Ads,1,1,399,10,3.020192097052435,90.61,0.17,0,0,4.6,0,Late Night,2024-04-26,2025-03-19,0
U847512,43,Male,Metro,Basic,Mobile,Romance,Gift Code,Skippable Ads,1,0,199,11,0.4342575990997104,13.03,0.03,1,0,4.1,0,Evening,2025-03-12,2026-02-07,0
U994235,58,Female,Metro,Standard,Smart TV,Horror,Gift Code,Non-Skippable Ads,0,1,399,7,2.4036366191221252,72.11,0.22,0,0,3.0,0,Evening,2023-09-07,2024-04-30,0
U950610,29,Female,West,Premium,Set-top Box,Documentary,Net Banking,Non-Skippable Ads,0,0,599,10,2.679778142825306,80.39,0.11,0,0,3.4,0,Morning,2023-07-08,2024-05-17,1
U896657,36,Male,Metro,Standard,Laptop,Sci-Fi,Credit Card,No Ads,0,0,399,4,2.135377014629219,64.06,0.08,1,1,3.8,1,Morning,2023-07-13,2023-12-08,1
U734457,43,Male,Tier-2,Basic,Laptop,Romance,Credit Card,Skippable Ads,0,1,199,3,1.4560952874980242,43.68,0.04,1,0,3.4,1,Evening,2024-10-01,2025-01-15,1
U858470,30,Female,West,Standard,Smart TV,Drama,Wallet,Non-Skippable Ads,1,0,399,9,3.777813644122732,113.33,0.45,0,0,2.8,0,Evening,2022-12-16,2023-10-08,0
U706177,63,Female,West,Standard,Laptop,Romance,Wallet,No Ads,1,0,399,1,2.6830357308080885,80.49,0.15,0,0,4.1,0,Evening,2023-09-04,2023-10-24,1
U524226,23,Male,West,Standard,Laptop,Drama,Credit Card,Non-Skippable Ads,1,1,399,9,1.1277203507176106,33.83,0.08,1,1,3.8,0,Evening,2023-08-21,2024-06-08,0
U712492,37,Female,Tier-2,Standard,Mobile,Drama,Debit Card,No Ads,0,1,399,5,2.1588601485464705,64.77,0.14,1,1,2.4,0,Late Night,2024-05-30,2024-10-31,1
U650448,50,Female,North,Basic,Smart TV,Drama,UPI,No Ads,1,0,199,6,1.1062213818269062,33.19,0.06,0,0,2.0,0,Evening,2023-12-04,2024-06-10,0
U544717,34,Female,Tier-2,Standard,Mobile,Romance,UPI,Non-Skippable Ads,1,0,399,6,1.4764871774462205,44.29,0.04,1,0,3.3,1,Morning,2023-08-24,2024-03-04,0
U593948,18,Male,South,Premium,Laptop,Sci-Fi,Debit Card,Non-Skippable Ads,1,0,599,4,2.8867903469141414,86.6,0.07,0,0,2.6,1,Evening,2024-11-11,2025-04-05,1
U270963,18,Female,Metro,Basic,Laptop,Thriller,Gift Code,Non-Skippable Ads,0,0,199,11,2.0676683788455676,62.03,0.15,1,0,3.2,0,Late Night,2023-05-11,2024-04-25,0
U224481,56,Male,East,Basic,Mobile,Sci-Fi,Debit Card,Skippable Ads,1,1,199,7,2.32877089371961,69.86,0.18,1,0,1.0,1,Evening,2024-07-02,2025-02-12,0
U664749,24,Male,East,Basic,Set-top Box,Horror,Debit Card,No Ads,1,0,199,9,1.797368125384981,53.92,0.09,0,0,4.3,0,Late Night,2024-10-12,2025-08-03,0
U541460,49,Male,South,Standard,Laptop,Comedy,Gift Code,Skippable Ads,1,0,399,4,2.591767646746287,77.75,0.1,0,0,3.0,0,Morning,2023-01-11,2023-05-16,0
U667201,25,Male,Tier-2,Premium,Set-top Box,Documentary,Net Banking,Skippable Ads,1,1,599,4,2.107208009907211,63.22,0.04,0,0,4.8,1,Afternoon,2022-11-27,2023-04-04,0
U535684,67,Male,Metro,Standard,Mobile,Sci-Fi,Gift Code,No Ads,1,0,399,5,1.9730985734879303,59.19,0.09,0,0,3.9,3,Afternoon,2024-04-25,2024-10-04,0
U563547,26,Male,West,Basic,Tablet,Comedy,Credit Card,Skippable Ads,1,0,199,9,2.9823962818825973,89.47,0.19,0,0,4.5,2,Afternoon,2024-05-21,2025-02-26,0
U714641,55,Male,East,Standard,Mobile,Documentary,Credit Card,No Ads,1,0,399,6,2.413974928645205,72.42,0.07,0,0,3.6,0,Evening,2025-03-06,2025-09-24,1
U974772,55,Male,Tier-2,Premium,Laptop,Romance,Debit Card,Non-Skippable Ads,0,1,599,9,3.929678636007927,117.89,0.25,1,2,3.4,0,Late Night,2024-03-21,2025-01-05,0
U797960,56,Other,Tier-3,Basic,Mobile,Sci-Fi,Debit Card,Skippable Ads,0,1,199,9,3.310056821073005,99.3,0.26,1,0,4.6,0,Evening,2024-01-06,2024-10-19,0
U729720,65,Other,Tier-2,Premium,Mobile,Thriller,UPI,Skippable Ads,1,0,599,5,3.073713553602828,92.21,0.16,2,1,3.8,0,Evening,2025-03-10,2025-08-08,0
U667829,43,Male,South,Basic,Set-top Box,Romance,Credit Card,Skippable Ads,1,0,199,3,1.1236253168377317,33.71,0.01,0,0,4.9,1,Afternoon,2023-12-12,2024-04-07,0
U877401,31,Female,West,Standard,Smart TV,Comedy,Credit Card,Non-Skippable Ads,0,0,399,1,2.9832898999278497,89.5,0.23,1,1,5.0,1,Evening,2025-01-26,2025-03-06,1
U792111,66,Female,Tier-2,Premium,Smart TV,Drama,Credit Card,No Ads,0,0,599,1,2.687676711507639,80.63,0.11,0,0,2.3,0,Late Night,2022-09-25,2022-11-17,1
U368787,19,Male,South,Standard,Mobile,Thriller,Net Banking,Skippable Ads,1,0,399,8,1.8468338397275643,55.41,0.04,0,0,4.2,0,Evening,2023-07-21,2024-03-17,0
U757011,64,Female,East,Premium,Mobile,Sci-Fi,Debit Card,Skippable Ads,0,0,599,9,1.6050556938190483,48.15,0.06,1,0,2.1,2,Afternoon,2023-03-22,2024-01-05,0
U911554,61,Male,Metro,Premium,Smart TV,Drama,Debit Card,Skippable Ads,1,1,599,3,2.6619186923416436,79.86,0.12,0,0,3.6,0,Morning,2023-05-24,2023-08-31,1
U686712,51,Male,West,Basic,Mobile,Drama,Net Banking,Skippable Ads,1,0,199,4,1.9401243342031707,58.2,0.11,0,0,4.2,0,Late Night,2023-06-02,2023-10-29,0
U117073,48,Female,Tier-2,Premium,Set-top Box,Sci-Fi,UPI,Skippable Ads,1,1,599,7,3.843812120760375,115.31,0.14,0,0,5.0,0,Afternoon,2024-06-21,2025-02-04,0
U162292,27,Male,North,Basic,Mobile,Sci-Fi,Debit Card,No Ads,0,0,199,10,1.0857603629194426,32.57,0.05,0,0,3.7,0,Evening,2024-04-25,2025-03-09,0
U707745,37,Female,South,Basic,Laptop,Action,Debit Card,No Ads,0,0,199,10,1.835393203005644,55.06,0.17,0,0,4.1,0,Afternoon,2024-04-15,2025-03-04,0
U720756,30,Female,West,Basic,Laptop,Drama,Gift Code,Skippable Ads,0,0,199,3,1.945060917077004,58.35,0.06,1,2,5.0,0,Evening,2025-02-02,2025-05-08,0
U657531,56,Female,Metro,Basic,Tablet,Drama,Credit Card,Non-Skippable Ads,1,0,199,2,3.8178541024888295,114.54,0.07,0,0,4.8,0,Afternoon,2023-04-03,2023-06-13,0
U379215,58,Male,Tier-2,Standard,Laptop,Sci-Fi,Wallet,Non-Skippable Ads,1,1,399,1,1.9918220827463697,59.75,0.14,0,0,4.7,1,Late Night,2024-11-27,2025-01-11,0
U978483,49,Male,Tier-2,Standard,Laptop,Thriller,Credit Card,Non-Skippable Ads,1,1,399,5,1.0941116912483229,32.82,0.08,1,0,4.8,1,Evening,2023-11-13,2024-04-24,0
U649844,50,Male,North,Standard,Smart TV,Comedy,Debit Card,No Ads,1,1,399,5,3.016132827529768,90.48,0.21,0,0,3.8,2,Morning,2025-02-17,2025-08-15,0
U306402,19,Female,Tier-3,Basic,Mobile,Comedy,Gift Code,No Ads,1,0,199,5,1.8211348675850392,54.63,0.07,0,0,3.8,0,Afternoon,2023-07-04,2023-12-22,0
U901469,50,Male,Tier-3,Basic,Laptop,Horror,Credit Card,Non-Skippable Ads,1,0,199,4,2.6385066354251356,79.16,0.08,1,0,3.8,1,Morning,2023-02-06,2023-06-17,1
U235565,53,Male,West,Basic,Smart TV,Romance,Wallet,Non-Skippable Ads,1,0,199,5,0.8542606949517377,25.63,0.04,0,0,5.0,1,Afternoon,2022-12-03,2023-05-23,0
U427231,61,Female,Tier-3,Standard,Smart TV,Drama,Wallet,No Ads,1,0,399,11,1.8338786149515889,55.02,0.13,0,1,3.4,1,Afternoon,2023-03-25,2024-03-12,0
U536571,43,Male,West,Standard,Smart TV,Horror,Gift Code,Non-Skippable Ads,1,1,399,9,1.738755108563714,52.16,0.01,0,0,3.7,1,Evening,2023-09-01,2024-06-13,0
U818675,64,Female,Tier-2,Premium,Laptop,Documentary,UPI,No Ads,1,1,599,3,0.6540789921793408,19.62,0.01,0,0,3.4,0,Late Night,2025-01-17,2025-05-16,1
U411478,56,Male,East,Basic,Mobile,Documentary,Debit Card,Skippable Ads,1,1,199,4,2.521260217362543,75.64,0.1,2,0,2.3,1,Evening,2023-02-20,2023-07-07,1
U167411,33,Male,West,Standard,Mobile,Horror,Debit Card,Non-Skippable Ads,1,0,399,3,1.8153083229507234,54.46,0.14,1,0,5.0,0,Evening,2023-10-22,2024-02-12,0
U206022,43,Male,Tier-2,Basic,Smart TV,Action,Net Banking,Skippable Ads,0,0,199,9,2.2700930084199853,68.1,0.04,0,0,3.0,1,Afternoon,2023-06-28,2024-04-10,1
U572501,58,Male,East,Basic,Smart TV,Comedy,Credit Card,Skippable Ads,1,1,199,10,2.559824266351871,76.79,0.23,0,0,2.8,1,Evening,2023-09-04,2024-07-17,0
U569924,22,Male,North,Basic,Smart TV,Comedy,Credit Card,Non-Skippable Ads,1,0,199,5,1.5210381337015941,45.63,0.05,0,0,3.6,1,Evening,2023-10-29,2024-04-01,1
U849122,26,Male,South,Basic,Mobile,Romance,Wallet,Skippable Ads,1,0,199,9,1.767083543599608,53.01,0.15,2,1,3.7,0,Evening,2024-12-01,2025-09-18,0
U734947,20,Male,North,Standard,Laptop,Thriller,UPI,No Ads,1,0,399,2,2.488543903387122,74.66,0.09,0,0,3.6,0,Late Night,2025-02-20,2025-05-02,1
U662060,62,Female,West,Standard,Smart TV,Romance,UPI,Skippable Ads,0,1,399,6,1.193405364992825,35.8,0.07,2,2,2.9,1,Afternoon,2024-10-05,2025-04-04,0
U670387,56,Female,West,Premium,Mobile,Thriller,Net Banking,Non-Skippable Ads,0,0,599,3,1.2042707786138067,36.13,0.08,0,0,2.8,2,Evening,2024-12-03,2025-03-12,0
U630430,62,Female,Metro,Standard,Mobile,Action,Wallet,Non-Skippable Ads,0,0,399,8,1.8782711071456768,56.35,0.11,1,1,3.7,0,Evening,2023-08-08,2024-04-18,0
U767304,39,Female,Tier-2,Premium,Laptop,Drama,Gift Code,Non-Skippable Ads,1,1,599,11,3.888339499871865,116.65,0.04,0,0,4.0,1,Evening,2022-12-27,2023-12-18,0
U462462,53,Male,East,Standard,Mobile,Action,Gift Code,No Ads,1,1,399,5,2.3515518599564253,70.55,0.17,1,0,4.1,1,Afternoon,2022-11-27,2023-04-28,0
U415261,42,Male,Tier-3,Standard,Set-top Box,Thriller,UPI,No Ads,1,1,399,2,3.3331146937299234,99.99,0.08,0,0,3.9,0,Late Night,2024-02-20,2024-05-12,0
U247309,67,Male,Tier-3,Standard,Laptop,Comedy,Gift Code,Non-Skippable Ads,1,0,399,1,0.34999295194421043,10.5,0.02,0,0,3.7,0,Evening,2023-12-15,2024-01-25,1
U913349,32,Male,South,Standard,Mobile,Thriller,UPI,Skippable Ads,1,1,399,5,1.8474956862649692,55.42,0.08,0,0,4.6,2,Late Night,2024-07-04,2024-12-19,0
U855612,48,Female,North,Standard,Laptop,Romance,Gift Code,Skippable Ads,1,0,399,4,2.0797918318652937,62.39,0.1,0,1,3.2,0,Morning,2022-09-18,2023-01-26,0
U711985,29,Female,North,Basic,Laptop,Romance,Gift Code,Non-Skippable Ads,0,0,199,1,2.840405521585109,85.21,0.07,0,1,4.1,2,Morning,2022-10-06,2022-11-20,1
U686549,69,Female,Metro,Basic,Mobile,Action,Wallet,Skippable Ads,1,0,199,2,2.6667419108781134,80.0,0.15,0,0,2.4,0,Afternoon,2024-06-16,2024-09-06,0
U791381,67,Male,East,Premium,Laptop,Action,Credit Card,No Ads,1,0,599,6,2.0207202065838468,60.62,0.05,0,0,4.6,0,Evening,2023-01-02,2023-07-06,0
U129336,48,Female,Tier-3,Basic,Mobile,Horror,UPI,No Ads,1,0,199,5,2.320213677434896,69.61,0.13,0,1,4.7,1,Afternoon,2024-01-02,2024-06-14,0
U727835,38,Female,West,Premium,Set-top Box,Drama,UPI,No Ads,0,1,599,12,1.6658517113446778,49.98,0.04,0,0,2.5,1,Evening,2023-11-13,2024-11-07,1
U698506,16,Male,West,Basic,Mobile,Action,Debit Card,Non-Skippable Ads,0,0,199,9,2.4046481270646467,72.14,0.2,2,2,2.8,0,Evening,2024-07-22,2025-04-19,1
U458402,45,Female,West,Premium,Set-top Box,Sci-Fi,Wallet,Non-Skippable Ads,1,0,599,1,4.254913444705674,127.65,0.08,0,0,5.0,0,Late Night,2022-10-25,2022-12-04,1
U401014,53,Female,South,Basic,Mobile,Horror,Wallet,No Ads,0,1,199,4,2.473379802575855,74.2,0.07,0,0,3.2,2,Evening,2023-06-05,2023-10-19,1
U258763,24,Female,West,Standard,Smart TV,Comedy,Credit Card,Non-Skippable Ads,0,0,399,6,3.094099756091068,92.82,0.11,0,0,2.6,0,Evening,2024-09-02,2025-03-20,0
U518458,49,Other,North,Premium,Laptop,Thriller,Wallet,No Ads,1,0,599,4,2.8904680850573454,86.71,0.21,0,0,4.3,0,Evening,2024-07-11,2024-11-16,1
U853494,25,Female,North,Basic,Tablet,Documentary,Wallet,Non-Skippable Ads,1,0,199,8,3.515191848900605,105.46,0.22,0,1,2.7,0,Afternoon,2024-09-23,2025-05-31,1
U799158,57,Female,South,Basic,Mobile,Thriller,Net Banking,No Ads,1,0,199,2,0.2,6.0,0.01,1,1,4.5,0,Late Night,2024-05-12,2024-07-26,1
U878493,68,Female,North,Standard,Laptop,Drama,UPI,Skippable Ads,1,0,399,4,1.0214786550234776,30.64,0.01,0,0,4.3,1,Evening,2024-07-16,2024-11-25,0
U492573,63,Female,Tier-2,Standard,Smart TV,Drama,UPI,No Ads,1,1,399,10,2.3767863283085213,71.3,0.05,0,0,2.9,0,Late Night,2024-09-27,2025-07-25,0
U395064,36,Female,North,Standard,Tablet,Romance,Gift Code,No Ads,1,0,399,7,2.9737478537667643,89.21,0.19,0,0,4.0,0,Late Night,2022-12-02,2023-07-13,0
U792485,35,Other,East,Basic,Smart TV,Documentary,Wallet,Skippable Ads,0,1,199,3,2.1353885085963036,64.06,0.01,0,0,3.3,1,Late Night,2023-03-16,2023-06-18,0
U713079,44,Female,North,Standard,Mobile,Thriller,Debit Card,No Ads,1,0,399,1,2.1684476184375456,65.05,0.17,0,0,4.5,3,Evening,2023-08-07,2023-09-18,0
U434971,48,Female,Tier-2,Standard,Tablet,Thriller,Net Banking,No Ads,1,0,399,2,2.23817960460916,67.15,0.18,0,0,3.3,0,Evening,2024-02-04,2024-04-30,1
U932595,69,Female,Tier-3,Basic,Mobile,Thriller,Gift Code,Skippable Ads,1,1,199,10,1.543631946028845,46.31,0.09,0,0,2.9,0,Afternoon,2022-10-04,2023-08-09,0
U598682,18,Male,North,Standard,Laptop,Horror,Gift Code,Non-Skippable Ads,1,0,399,10,3.531368963378661,105.94,0.19,0,0,2.6,0,Morning,2023-02-06,2023-12-27,0
