date,open,high,low,close,volume
2018-03-16,88.78,89.38,87.19,88.53,994836
2018-03-19,86.26,87.7,85.79,86.53,589015
2018-03-20,87.72,87.93,87.27,87.77,516532
2018-03-21,87.27,88.29,86.13,87.54,691957
2018-03-22,90.54,91.85,89.03,90.15,1406811
2018-03-23,88.64,89.15,88.4,88.44,958684
2018-03-26,89.64,90.43,88.71,89.77,592806
2018-03-27,91.3,91.78,90.25,91.44,1288001
2018-03-28,89.65,90.36,88.48,89.72,548545
2018-03-29,88.83,90.09,87.43,88.85,1180454
2018-03-30,89.28,90.45,88.66,89.29,560712
2018-04-02,88.62,89.6,87.34,89.02,1334862
2018-04-03,88.11,89.07,86.86,87.74,849659
2018-04-04,90.78,91.74,89.14,90.33,1116209
2018-04-05,90.9,91.64,90.14,90.69,1303311
2018-04-06,87.85,88.61,86.92,88.14,709362
2018-04-09,87.68,88.14,87.15,87.65,1121850
2018-04-10,89.49,90.66,89.4,89.68,627947
2018-04-11,89.88,91.09,89.57,89.62,1181575
2018-04-12,89.59,90.74,88.7,89.88,1330128
2018-04-13,87.75,88.68,86.45,87.88,1160644
2018-04-16,86.55,87.2,85.34,86.52,1230478
2018-04-17,86.5,86.84,85.95,86.3,639449
2018-04-18,86.96,87.72,86.36,87.2,1031565
2018-04-19,88.92,89.38,88.19,89.33,598421
2018-04-20,86.86,88.24,86.6,87.29,951730
2018-04-23,88.54,90.38,87.65,88.84,1229744
2018-04-24,91.46,93.11,90.74,91.39,1316150
2018-04-25,89.61,90.41,88.86,89.39,1026316
2018-04-26,87.64,89.36,86.8,87.43,1169284
2018-04-27,85.16,86.72,84.95,85.3,1396081
2018-04-30,86.83,88.13,85.5,86.77,1206811
2018-05-01,87.53,87.84,86.9,87.28,1353526
2018-05-02,85.14,85.88,84.51,84.83,748508
2018-05-03,87.27,87.84,85.64,87.01,1460196
2018-05-04,86.11,87.81,85.46,86.42,1471169
2018-05-07,89.14,90.36,87.75,88.87,1387657
2018-05-08,91.6,92.7,90.47,91.5,1035425
2018-05-09,91.18,91.66,90.12,91.12,927595
2018-05-10,89.38,91.2,88.19,89.48,1479914
2018-05-11,89.09,90.57,88.08,88.83,932474
2018-05-14,87.71,89.43,87.38,87.95,642371
2018-05-15,89.24,90.06,88.91,89.29,829395
2018-05-16,86.99,88.64,86.97,87.06,1099405
2018-05-17,89.19,90.34,87.75,89.38,564768
2018-05-18,88.25,89.81,86.92,87.95,1109827
2018-05-21,86.79,88.62,85.56,87.21,746554
2018-05-22,85.64,85.76,84.05,85.23,1147652
2018-05-23,84.46,84.75,83.14,84.42,521880
2018-05-24,86.36,87.34,85.43,86.71,735173
2018-05-25,86.92,88.57,85.45,87.33,710074
2018-05-28,89.32,89.92,87.8,89.4,570696
2018-05-29,88.38,89.51,87.43,88.25,1209326
2018-05-30,86.44,86.65,85.84,86.22,725125
2018-05-31,85.98,86.76,84.43,85.91,1273786
2018-06-01,84.51,85.87,84.14,84.2,1068414
2018-06-04,82.77,83.54,82.42,82.96,1264152
2018-06-05,82.56,83.09,81.69,82.87,1171703
2018-06-06,80.7,80.73,79.88,80.58,929655
2018-06-07,80.1,80.8,79.01,79.93,979270
2018-06-08,79.01,79.9,78.57,78.81,686177
2018-06-11,77.35,78.82,76.2,77.05,565635
2018-06-12,77.3,79.01,76.36,77.67,982028
2018-06-13,78.65,79.48,78.16,78.73,521009
2018-06-14,76.47,77.61,75.68,76.64,1298251
2018-06-15,77.66,78.42,77.3,77.39,885643
2018-06-18,76.77,76.85,76.16,76.46,1426544
2018-06-19,78.41,79.66,77.1,78.39,1214558
2018-06-20,79.82,80.88,78.38,79.74,542610
2018-06-21,80.64,82.18,79.8,80.5,632000
2018-06-22,78.57,79.12,77.54,78.94,590257
2018-06-25,79.49,80.27,79.24,79.51,1410953
2018-06-26,80.76,80.97,79.87,80.96,649637
2018-06-27,81.73,81.9,81.29,81.79,859959
2018-06-28,81.35,81.46,80.49,81.2,942914
2018-06-29,79.61,79.98,78.44,79.77,1326446
2018-07-02,79.95,80.06,78.77,79.71,1189953
2018-07-03,79.85,81.22,79.3,79.59,922522
2018-07-04,78.17,79.02,76.43,77.93,1223058
2018-07-05,77.49,79.13,76.65,77.62,845622
2018-07-06,77.91,78.97,76.49,77.87,1397236
2018-07-09,79.34,79.38,78.54,79.01,910380
2018-07-10,76.9,77.23,75.97,77.03,1045509
2018-07-11,74.72,75.56,74.61,75.0,1107636
2018-07-12,74.89,76.19,74.68,74.71,1264608
2018-07-13,75.58,76.55,74.17,75.68,913190
2018-07-16,74.07,74.77,73.15,74.15,1149320
2018-07-17,73.25,74.14,71.86,72.99,1065536
2018-07-18,73.56,73.95,72.34,73.6,1073611
2018-07-19,74.07,75.18,73.93,73.94,1095021
2018-07-20,74.13,74.69,73.31,74.02,1192960
2018-07-23,76.27,77.0,75.8,76.45,1108893
2018-07-24,78.44,80.0,77.47,78.34,1458091
2018-07-25,77.69,78.49,77.63,77.79,534854
2018-07-26,77.02,78.74,75.62,77.31,1481328
2018-07-27,75.88,75.96,74.95,75.82,1391935
2018-07-30,74.42,76.05,72.98,74.58,1274208
2018-07-31,76.41,76.46,75.66,76.45,1213391
2018-08-01,78.34,78.71,78.01,78.44,1164459
2018-08-02,78.47,79.68,77.89,78.3,1063326
2018-08-03,77.16,77.58,76.99,77.27,836934
2018-08-06,77.95,78.96,76.93,77.84,938738
2018-08-07,76.17,77.2,74.97,76.43,580750
2018-08-08,74.41,75.73,73.16,74.59,1364473
2018-08-09,76.2,76.83,75.4,75.84,838726
2018-08-10,76.67,78.21,75.49,77.01,516202
2018-08-13,78.84,80.3,78.04,78.56,1187899
2018-08-14,76.26,77.38,75.3,76.21,786833
2018-08-15,74.77,75.35,74.27,75.02,1218051
2018-08-16,75.9,76.76,74.67,75.87,1191959
2018-08-17,76.53,77.14,75.09,76.67,981817
2018-08-20,78.68,78.78,77.67,78.62,1048164
2018-08-21,78.5,78.56,77.98,78.38,668571
2018-08-22,81.12,82.49,79.93,81.04,1319132
2018-08-23,83.54,85.05,83.02,83.63,881071
2018-08-24,83.95,84.96,82.42,83.71,1310218
2018-08-27,86.75,86.84,85.82,86.8,624599
2018-08-28,88.06,89.58,86.56,87.88,860590
2018-08-29,89.91,90.4,88.31,89.81,1362107
2018-08-30,91.09,92.42,90.69,91.26,1356694
2018-08-31,89.4,90.6,89.07,89.44,1230763
2018-09-03,90.49,92.11,89.12,90.29,864434
2018-09-04,92.98,94.1,92.27,92.58,1306530
2018-09-05,92.19,92.77,90.38,92.29,1220977
2018-09-06,94.28,94.8,93.12,94.56,1037716
2018-09-07,91.94,92.53,91.07,92.24,1460090
2018-09-10,91.78,93.98,91.5,92.22,789209
2018-09-11,93.68,94.46,93.48,93.99,997801
2018-09-12,95.98,97.8,94.98,96.15,956697
2018-09-13,95.54,95.78,94.77,95.74,828469
2018-09-14,94.66,95.66,94.43,94.81,655081
2018-09-17,94.67,95.83,93.97,94.62,1456284
2018-09-18,95.72,96.07,94.6,95.95,1456678
2018-09-19,96.27,96.98,95.23,96.09,624972
2018-09-20,93.75,95.45,93.12,94.14,846763
2018-09-21,95.38,97.41,94.1,95.57,856726
2018-09-24,96.45,96.52,95.32,96.37,904358
2018-09-25,95.96,96.97,94.78,95.97,1494564
2018-09-26,98.21,98.92,96.61,98.67,761132
2018-09-27,99.3,100.34,98.56,99.1,886484
2018-09-28,96.7,97.52,95.25,96.84,981353
2018-10-01,99.51,100.95,98.09,99.66,1296177
2018-10-02,98.52,98.89,98.25,98.8,537818
2018-10-03,101.58,103.27,100.56,101.51,563309
2018-10-04,98.4,99.44,96.61,98.83,928218
2018-10-05,99.52,100.76,97.83,99.45,718246
2018-10-08,100.24,101.83,98.52,100.54,1452923
2018-10-09,100.14,101.51,99.85,100.37,873062
2018-10-10,97.44,97.99,96.45,97.4,1400346
2018-10-11,98.96,99.52,98.09,99.44,1206278
2018-10-12,101.02,102.73,98.7,100.61,857942
2018-10-15,97.95,99.68,97.06,98.08,1368591
2018-10-16,96.85,97.51,96.34,96.85,592902
2018-10-17,99.82,101.06,97.73,99.55,1445572
2018-10-18,96.86,98.63,95.89,96.58,1471898
2018-10-19,98.34,100.08,97.27,98.38,1480091
2018-10-22,98.39,99.52,97.33,98.41,847816
2018-10-23,96.74,97.94,96.24,96.74,1296174
2018-10-24,100.14,101.35,99.62,100.06,997956
2018-10-25,101.04,102.1,99.05,100.63,1110020
2018-10-26,101.46,102.85,100.42,101.58,562764
2018-10-29,99.64,101.65,99.09,99.89,1293297
2018-10-30,98.06,98.72,96.04,97.66,1244573
2018-10-31,95.95,96.06,95.43,95.99,1373558
2018-11-01,97.72,99.0,96.69,97.58,914435
2018-11-02,97.8,98.51,97.54,98.11,1457964
2018-11-05,99.21,100.4,98.35,98.89,705286
2018-11-06,101.81,101.91,101.43,101.57,1188438
2018-11-07,99.66,100.56,99.26,100.05,618732
2018-11-08,100.19,100.92,98.61,100.12,1417246
2018-11-09,102.6,103.26,102.36,102.36,828352
2018-11-12,103.13,104.58,101.74,103.35,814925
2018-11-13,100.81,101.51,99.45,100.96,742164
2018-11-14,98.12,99.98,96.94,98.44,1224552
2018-11-15,101.09,102.78,100.51,101.06,1427475
2018-11-16,100.7,102.19,100.04,100.92,787063
2018-11-19,100.52,101.91,99.19,100.75,1437039
2018-11-20,100.66,100.99,100.11,100.45,582655
2018-11-21,100.78,102.6,100.24,101.28,1353741
2018-11-22,102.47,103.67,102.43,102.96,1097523
2018-11-23,100.95,102.39,99.9,101.06,1017691
2018-11-26,100.39,101.92,99.03,100.03,1397115
2018-11-27,102.5,104.02,101.39,102.0,667394
2018-11-28,102.09,103.33,101.49,102.03,611347
2018-11-29,100.18,101.07,99.98,100.57,1451209
2018-11-30,96.82,98.56,96.55,97.11,1028636
2018-12-03,95.8,97.38,94.43,95.47,1358182
2018-12-04,94.47,95.06,94.09,94.61,1276672
2018-12-05,92.92,94.15,91.66,92.87,515563
2018-12-06,94.81,96.9,93.03,95.13,895420
2018-12-07,95.21,96.18,93.58,95.27,1236798
2018-12-10,94.66,95.87,92.44,94.29,1123932
2018-12-11,94.49,96.37,93.59,94.65,1390892
2018-12-12,94.44,96.26,93.61,94.79,1365171
2018-12-13,92.65,94.83,92.24,93.08,662604
2018-12-14,90.1,90.8,88.19,89.95,1422656
2018-12-17,92.26,92.39,90.74,92.0,721813
2018-12-18,90.51,90.67,89.96,90.44,687415
2018-12-19,89.82,90.5,89.67,89.77,578549
2018-12-20,91.01,91.44,90.86,91.23,1040193
2018-12-21,90.44,90.88,88.52,90.03,1401496
2018-12-24,89.76,90.44,88.52,89.34,1326513
2018-12-25,90.86,92.37,89.37,91.24,1145844
2018-12-26,91.52,93.26,90.77,91.47,759616
2018-12-27,93.75,93.82,92.43,93.6,1123019
2018-12-28,91.33,92.89,89.53,91.1,669298
2018-12-31,90.0,91.59,89.1,89.96,611082
2019-01-01,87.96,88.74,87.25,87.76,1485762
2019-01-02,87.05,87.21,86.55,86.91,804293
2019-01-03,88.18,89.87,87.12,88.37,923021
2019-01-04,86.33,88.25,84.78,86.64,1126844
2019-01-07,86.32,86.96,85.21,86.38,682646
2019-01-08,86.31,88.01,86.08,86.65,1062708
2019-01-09,87.96,88.93,87.44,88.19,1060393
2019-01-10,87.29,88.51,86.53,87.71,951479
2019-01-11,87.54,87.86,87.03,87.78,1378766
2019-01-14,87.27,88.69,85.76,87.33,851508
2019-01-15,88.25,88.26,86.16,87.82,1488165
2019-01-16,86.12,87.2,84.78,86.44,1138796
2019-01-17,88.29,90.06,88.29,88.57,654605
2019-01-18,87.88,88.77,87.35,87.99,1307806
2019-01-21,91.7,92.38,89.95,91.46,628550
2019-01-22,94.82,95.24,93.47,94.56,1461830
2019-01-23,96.39,97.79,95.93,96.77,806883
2019-01-24,99.4,100.22,98.88,99.09,1390070
2019-01-25,99.84,101.86,98.53,99.99,689746
2019-01-28,99.04,99.85,97.46,99.15,1132173
2019-01-29,98.7,98.84,96.75,98.83,1409330
2019-01-30,98.77,99.33,97.92,99.26,1351702
2019-01-31,97.11,97.69,96.55,97.08,1424509
2019-02-01,95.93,96.48,94.96,96.26,1069606
2019-02-04,96.06,96.25,94.07,95.63,853652
2019-02-05,94.68,95.49,93.25,95.12,707109
2019-02-06,93.27,94.2,91.83,93.44,610286
2019-02-07,92.37,93.46,91.79,92.26,805108
2019-02-08,93.55,94.31,92.23,93.5,1002415
2019-02-11,96.91,97.25,95.52,97.08,922346
2019-02-12,99.16,101.12,98.34,99.15,1035984
2019-02-13,97.62,98.12,96.21,97.48,1475036
2019-02-14,96.88,97.57,95.32,96.52,868341
2019-02-15,98.4,99.84,97.82,98.48,1270123
2019-02-18,97.03,97.63,94.86,96.61,1003570
2019-02-19,94.67,95.66,94.06,94.36,839932
2019-02-20,95.32,95.53,94.23,95.45,1388297
2019-02-21,94.22,95.85,93.52,94.15,806245
2019-02-22,94.46,94.93,94.19,94.82,952869
2019-02-25,94.46,94.86,92.65,94.31,693259
2019-02-26,96.26,97.78,95.78,95.87,1014864
2019-02-27,98.21,99.35,98.09,98.62,1210943
2019-02-28,97.67,98.96,96.85,97.8,934375
2019-03-01,96.42,98.01,94.96,96.67,831639
2019-03-04,96.77,98.52,95.07,96.85,1427887
2019-03-05,94.47,95.35,93.77,94.38,828024
2019-03-06,96.0,97.0,94.9,95.71,1199022
2019-03-07,97.56,99.11,97.05,97.5,1414464
2019-03-08,95.04,95.44,93.14,94.62,1374990
2019-03-11,96.74,97.61,94.83,96.27,1227906
2019-03-12,95.95,97.0,95.42,95.83,980519
2019-03-13,97.09,97.97,96.11,97.17,625008
2019-03-14,97.45,97.67,96.82,97.28,1111321
2019-03-15,96.86,98.04,96.11,97.18,543399
2019-03-18,97.56,98.87,96.67,97.23,1148134
2019-03-19,98.3,99.34,96.39,98.31,1175364
2019-03-20,98.38,99.03,98.23,98.31,1139843
2019-03-21,99.93,100.33,99.81,100.24,527518
2019-03-22,99.06,99.14,98.33,98.61,1033848
2019-03-25,98.26,100.28,96.92,98.58,737957
2019-03-26,96.52,96.96,95.91,96.23,1195734
2019-03-27,97.95,99.75,96.29,97.74,757628
2019-03-28,95.43,95.96,94.18,95.39,758763
2019-03-29,95.16,96.56,93.61,94.85,765531
2019-04-01,94.54,94.86,93.65,94.8,777349
2019-04-02,92.39,94.13,91.13,92.18,1321636
2019-04-03,93.55,95.32,92.03,93.64,1348060
2019-04-04,92.9,93.47,92.57,93.33,1057062
2019-04-05,95.11,96.03,94.78,94.96,1467333
2019-04-08,92.96,94.12,91.24,93.11,1131963
2019-04-09,95.46,96.28,93.6,95.08,1275809
2019-04-10,93.35,95.11,91.61,93.34,1050251
2019-04-11,93.41,94.82,91.72,93.74,1476119
2019-04-12,91.96,92.16,90.4,91.83,1441261
2019-04-15,90.29,91.69,88.8,90.72,1257200
2019-04-16,92.61,93.58,91.68,92.2,611712
2019-04-17,92.97,94.67,92.45,92.63,834279
2019-04-18,92.24,92.37,90.69,92.12,1418381
2019-04-19,93.51,94.06,91.67,93.86,595541
2019-04-22,92.9,93.49,91.39,92.48,1053457
2019-04-23,92.15,94.03,90.59,92.19,618559
2019-04-24,94.98,96.67,94.94,95.3,1320868
2019-04-25,94.38,95.08,93.4,94.45,960016
2019-04-26,92.95,93.04,92.17,92.93,1430666
2019-04-29,92.52,94.53,90.95,92.91,592041
2019-04-30,95.45,96.05,93.61,95.64,719296
2019-05-01,95.57,95.86,94.31,95.7,998965
2019-05-02,94.64,95.69,93.03,94.81,732375
2019-05-03,92.98,94.91,91.21,93.43,974443
2019-05-06,95.99,96.08,94.65,95.97,947022
2019-05-07,93.58,94.15,91.57,93.3,1278155
2019-05-08,95.66,97.56,94.66,95.2,627387
2019-05-09,95.4,96.77,94.36,95.29,1366034
2019-05-10,91.36,92.51,90.86,91.75,775251
2019-05-13,94.35,95.28,92.98,94.41,540415
2019-05-14,96.23,98.6,95.51,96.7,1034325
2019-05-15,97.12,98.24,96.79,96.94,596902
2019-05-16,96.21,97.84,94.37,96.44,1442637
2019-05-17,97.73,98.93,97.41,98.09,1416212
2019-05-20,97.91,97.98,96.6,97.89,964460
2019-05-21,99.99,101.03,99.94,100.3,1000503
2019-05-22,102.14,103.65,101.09,102.56,1431194
2019-05-23,105.66,106.52,103.87,105.5,1125105
2019-05-24,102.22,102.32,100.09,102.01,592963
2019-05-27,101.35,103.34,100.03,101.61,548201
2019-05-28,99.1,99.48,97.25,99.39,1334779
2019-05-29,97.35,98.11,96.13,97.23,757896
2019-05-30,96.46,97.0,95.35,96.36,1259202
2019-05-31,94.43,96.04,93.58,94.36,806361
2019-06-03,94.43,96.41,93.38,94.83,666841
2019-06-04,96.38,97.0,94.53,96.11,1079660
2019-06-05,96.02,96.82,95.89,96.48,1338046
2019-06-06,93.94,94.45,93.4,93.68,519821
2019-06-07,92.48,93.27,90.43,92.11,1097979
2019-06-10,92.7,94.47,91.96,92.69,580357
2019-06-11,92.77,93.91,91.83,92.4,977429
2019-06-12,90.03,90.65,89.71,90.14,968727
2019-06-13,92.31,93.7,91.43,92.04,826634
2019-06-14,90.42,91.55,90.37,90.6,1367024
2019-06-17,88.07,89.97,86.79,88.26,1084817
2019-06-18,86.75,87.31,85.44,86.82,1148981
2019-06-19,86.71,88.28,84.8,86.28,1024003
2019-06-20,85.95,87.48,84.44,85.65,766254
2019-06-21,86.86,88.49,85.12,87.08,1012725
2019-06-24,87.55,88.51,87.09,87.19,550503
2019-06-25,89.41,89.88,88.07,89.4,1012688
2019-06-26,90.27,91.47,89.89,90.11,979642
2019-06-27,92.54,93.07,92.46,92.71,913102
2019-06-28,91.92,92.42,90.11,91.78,631308
2019-07-01,93.42,95.25,91.58,93.24,1102335
2019-07-02,90.67,91.02,90.22,90.49,1316348
2019-07-03,89.39,90.27,88.53,89.37,500506
2019-07-04,92.23,92.24,91.22,91.78,1127458
2019-07-05,93.75,94.82,92.12,93.66,1139853
2019-07-08,92.65,94.36,91.16,92.4,627101
2019-07-09,90.83,91.99,89.37,91.12,1147428
2019-07-10,88.76,89.28,87.03,88.81,639280
2019-07-11,87.06,88.02,85.63,87.22,1040180
2019-07-12,84.38,84.88,83.89,84.7,1322654
2019-07-15,83.28,84.55,82.92,83.07,781260
2019-07-16,83.11,84.03,82.01,83.44,1404453
2019-07-17,84.66,86.47,83.86,84.97,704659
2019-07-18,86.05,86.35,84.93,86.31,891923
2019-07-19,86.62,88.03,85.63,86.54,1396557
2019-07-22,85.31,86.05,84.61,85.14,1378780
2019-07-23,87.46,89.02,86.92,87.05,565719
2019-07-24,90.26,91.47,89.53,89.86,649737
2019-07-25,90.54,91.96,89.54,90.19,1163353
2019-07-26,89.49,90.19,88.05,89.53,936164
2019-07-29,93.21,95.07,91.29,92.92,727945
2019-07-30,95.75,96.51,95.38,95.44,851280
2019-07-31,96.82,98.22,95.59,97.0,1149391
2019-08-01,98.05,98.09,96.03,97.72,743740
2019-08-02,97.66,99.28,96.85,97.87,1461622
2019-08-05,99.52,100.51,98.17,99.71,731331
2019-08-06,99.14,99.9,98.66,98.79,1133438
2019-08-07,99.96,100.55,98.56,99.69,1135629
2019-08-08,98.06,98.54,96.06,97.77,646345
2019-08-09,97.66,98.72,95.95,97.89,839514
2019-08-12,99.85,101.38,98.72,100.14,534714
2019-08-13,103.28,104.23,101.62,103.05,1412348
2019-08-14,100.66,100.82,99.94,100.68,1438725
2019-08-15,100.49,101.3,98.65,100.6,1009895
2019-08-16,99.05,99.99,97.83,98.62,1015099
2019-08-19,98.32,99.07,96.67,98.22,1073168
2019-08-20,101.05,101.58,100.33,101.11,805599
2019-08-21,104.19,104.58,102.94,103.76,1271080
2019-08-22,103.6,105.03,101.85,103.57,955781
2019-08-23,103.0,104.12,102.75,102.94,1328713
2019-08-26,104.64,105.63,104.03,105.05,586832
2019-08-27,107.79,109.41,105.85,107.35,707790
2019-08-28,107.14,108.19,106.63,107.01,1411437
2019-08-29,105.98,108.59,105.89,106.46,805460
2019-08-30,105.22,106.83,103.84,105.18,1269115
2019-09-02,104.53,105.61,104.12,104.84,1301742
2019-09-03,108.06,110.14,106.63,107.74,699637
2019-09-04,105.68,107.23,105.43,105.93,1390741
2019-09-05,104.88,106.88,103.59,104.37,923908
2019-09-06,101.9,103.05,101.73,102.08,1408691
2019-09-09,100.19,100.83,100.17,100.32,1107332
2019-09-10,99.78,100.57,98.62,99.51,895096
2019-09-11,101.19,102.88,100.36,101.23,1100225
2019-09-12,101.33,103.15,99.44,101.16,795073
2019-09-13,99.69,100.77,97.76,99.57,1305778
2019-09-16,102.14,103.5,101.49,102.42,1497262
2019-09-17,99.26,100.68,98.16,99.49,906058
2019-09-18,97.97,99.48,96.56,97.78,942235
2019-09-19,95.53,95.77,93.72,95.66,1187715
2019-09-20,92.81,93.23,92.17,92.84,578874
2019-09-23,95.99,97.43,95.08,95.79,609152
2019-09-24,97.23,98.66,95.37,96.89,767897
2019-09-25,99.06,100.49,98.23,99.03,926468
2019-09-26,97.65,98.72,97.34,97.72,1135912
2019-09-27,95.34,95.95,93.52,95.56,812922
2019-09-30,97.67,99.12,97.39,97.81,1069257
2019-10-01,95.38,95.74,93.56,95.28,1344449
2019-10-02,92.98,93.42,90.88,92.61,1112989
2019-10-03,92.57,94.39,90.69,92.4,572629
2019-10-04,90.21,91.82,90.06,90.6,765527
2019-10-07,91.23,92.22,90.44,91.39,991183
2019-10-08,89.75,90.03,88.16,89.79,507755
2019-10-09,89.13,91.0,88.49,89.3,649581
2019-10-10,91.46,92.0,89.59,91.27,1060865
2019-10-11,89.78,91.28,88.42,89.94,909793
2019-10-14,90.89,92.27,90.82,91.0,1404994
2019-10-15,91.92,92.37,90.12,92.32,831337
2019-10-16,90.76,90.8,89.38,90.37,1276417
2019-10-17,88.65,90.0,86.75,88.43,574397
2019-10-18,89.38,90.14,87.87,89.73,825570
2019-10-21,89.2,90.12,87.56,89.07,1006364
2019-10-22,90.29,92.31,88.71,90.59,1075151
2019-10-23,90.59,92.41,90.1,90.67,761692
2019-10-24,93.22,94.78,93.14,93.53,1034906
2019-10-25,94.15,95.86,92.76,93.77,758176
2019-10-28,97.41,97.85,96.61,97.36,1470016
2019-10-29,94.78,95.74,93.68,95.03,934944
2019-10-30,92.59,93.05,91.05,92.79,1213742
2019-10-31,92.63,93.9,91.19,92.17,1356532
2019-11-01,94.16,95.3,93.33,94.01,939967
2019-11-04,92.62,93.55,92.3,92.67,1367681
2019-11-05,95.31,95.47,93.77,94.95,777280
2019-11-06,95.55,96.2,93.82,95.9,1458302
2019-11-07,92.86,94.8,91.56,93.08,936552
2019-11-08,94.48,95.37,92.24,94.02,842709
2019-11-11,92.3,92.87,90.98,92.45,1249999
2019-11-12,91.8,92.77,90.66,92.08,1178412
2019-11-13,89.99,90.7,89.66,89.76,1487207
2019-11-14,91.55,93.48,90.92,91.72,538078
2019-11-15,90.93,91.36,89.94,90.67,1292282
2019-11-18,90.61,91.83,88.62,90.34,1479752
2019-11-19,88.8,89.6,87.78,89.02,913263
2019-11-20,88.07,88.71,87.45,88.13,1325700
2019-11-21,88.13,88.89,88.0,88.42,708008
2019-11-22,86.98,87.37,86.16,87.08,987434
2019-11-25,89.78,90.34,88.76,89.83,1351753
2019-11-26,88.31,88.43,86.72,88.42,1302450
2019-11-27,90.32,91.51,89.48,90.61,610526
2019-11-28,90.13,91.04,89.05,90.29,638076
2019-11-29,88.47,89.71,87.99,88.1,1278743
2019-12-02,86.69,88.41,85.34,86.36,1239934
2019-12-03,84.43,85.81,83.92,84.32,553306
2019-12-04,82.4,83.75,80.96,82.56,908615
2019-12-05,83.76,85.46,83.57,83.96,754347
2019-12-06,81.09,82.58,79.6,81.14,754975
2019-12-09,80.61,81.53,79.95,80.87,925031
2019-12-10,82.87,83.63,81.4,82.7,1371023
2019-12-11,84.66,85.78,82.82,84.29,535800
2019-12-12,86.12,87.92,85.21,86.26,967320
2019-12-13,84.93,86.54,84.8,84.86,1392750
2019-12-16,87.67,88.31,86.68,87.48,1222370
2019-12-17,87.36,89.47,86.1,87.72,504590
2019-12-18,87.43,88.43,85.83,87.07,593590
2019-12-19,86.96,88.65,86.31,86.76,841897
2019-12-20,84.6,84.79,84.32,84.58,536800
2019-12-23,85.62,87.17,84.41,85.52,940306
2019-12-24,84.45,84.49,82.75,84.24,832988
2019-12-25,86.01,87.86,85.19,86.14,1303260
2019-12-26,85.05,86.17,84.81,85.32,998149
2019-12-27,86.02,87.74,84.78,86.22,676331
2019-12-30,87.01,88.64,85.67,86.89,1365315
2019-12-31,89.32,90.25,87.6,88.94,520505
2020-01-01,89.63,91.54,89.19,89.92,1474268
2020-01-02,87.78,88.3,86.49,87.49,682530
2020-01-03,87.17,87.76,86.13,87.58,1132638
2020-01-06,87.21,87.92,85.7,87.46,878998
2020-01-07,87.84,89.37,87.43,87.98,1420183
